mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	0	6/8	2	1	e.i	e	i		i	i							m	1	1	0, -3, 1		0	0
1	1	3/2	1.5	3/8	3/8	6/8	2	1	#viio6	e	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	3	1.5	0	0	6/8	2	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	9/2	0.5	3/8	3/8	6/8	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	5	1.0	1/2	1/2	6/8	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	6	1.0	0	0	6/8	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
3	3	7	0.5	1/4	1/4	6/8	2	1	III6	e	i		III6	III		6					M	1	1	1, -2, -3		-3	1
3	3	15/2	1.0	3/8	3/8	6/8	2	1	ii43(94)	e	i		ii43(94)	ii		43	94				mm7	1	1	3, 0, 2, 1	-3	2	3
3	3	17/2	0.5	5/8	5/8	6/8	2	1	ii43	e	i		ii43	ii		43					mm7	1	1	3, 0, 2, -1		2	3
4	4	9	1.0	0	0	6/8	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	10	0.5	1/4	1/4	6/8	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
4	4	21/2	0.5	3/8	3/8	6/8	2	1	v6	e	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
4	4	11	0.75	1/2	1/2	6/8	2	1	iv6(2)	e	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
4	4	47/4	0.25	11/16	11/16	6/8	2	1	iv6	e	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	12	0.25	0	0	6/8	2	1	V\\	e	i		V	V						\\	M	1	1	1, 5, 2		1	1
5	5	49/4	1.25	1/16	1/16	6/8	2	1	III.iii7	e	III		iii7	iii		7					mm7	1	0	4, 1, 5, 2		4	4
